Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
K Rabada (SA),39.4,8,144,13,3.63,11.07,18.3,v England,Centurion,22 Jan 2016,1,1,1
JM Anderson (ENG),37,15,71,11,1.91,6.45,20.1,v Pakistan,Nottingham,29 Jul 2010,1,1,1
SJ Harmison (ENG),31.1,10,76,11,2.43,6.9,17,v Pakistan,Manchester,27 Jul 2006,1,1,1
CR Woakes (ENG),42,13,102,11,2.42,9.27,22.9,v Pakistan,Lord's,14 Jul 2016,1,1,1
SCJ Broad (ENG),43,10,121,11,2.81,11,23.4,v Australia,Chester-le-Street,9 Aug 2013,1,1,1
CD Collymore (WI),44.2,7,134,11,3.02,12.18,24.1,v Pakistan,Kingston,3 Jun 2005,1,1,1
SCJ Broad (ENG),58.5,12,165,11,2.8,15,32,v West Indies,Lord's,17 May 2012,1,1,1
CS Martin (NZ),54,12,180,11,3.33,16.36,29.4,v South Africa,Auckland,18 Mar 2004,1,1,1
GD McGrath (AUS),33,21,27,10,0.81,2.7,19.8,v West Indies,Brisbane,23 Nov 2000,1,1,1
JM Anderson (ENG),25.1,11,45,10,1.78,4.5,15.1,v Sri Lanka,Leeds,19 May 2016,1,1,1
K Rabada (SA),24.5,5,63,10,2.53,6.3,14.9,v Bangladesh,Bloemfontein,6 Oct 2017,1,1,1
Shoaib Akhtar (PAK),34.5,6,80,10,2.29,8,20.9,v Bangladesh,Peshawar,27 Aug 2003,1,1,1
DW Steyn (SA),24.3,6,91,10,3.71,9.1,14.7,v New Zealand,Centurion,16 Nov 2007,1,1,1
K Rabada (SA),29,5,92,10,3.17,9.2,17.4,v Sri Lanka,Cape Town,2 Jan 2017,1,1,1
DW Steyn (SA),31.3,4,93,10,2.95,9.3,18.9,v New Zealand,Johannesburg,8 Nov 2007,1,1,1
VD Philander (SA),24.1,3,102,10,4.22,10.2,14.5,v Sri Lanka,Centurion,15 Dec 2011,1,1,1
GD McGrath (AUS),35.5,8,103,10,2.87,10.3,21.5,v India,Sydney,2 Jan 2000,1,1,1
M Ntini (SA),33,5,145,10,4.39,14.5,19.8,v New Zealand,Centurion,15 Apr 2006,1,1,1
KAJ Roach (WI),45,9,146,10,3.24,14.6,27,v Australia,Port of Spain,15 Apr 2012,1,1,1
SM Pollock (SA),48.4,18,147,10,3.02,14.7,29.2,v India,Bloemfontein,3 Nov 2001,1,1,1
JM Anderson (ENG),55.5,13,158,10,2.82,15.8,33.5,v Australia,Nottingham,10 Jul 2013,1,1,1
M Ntini (SA),44.5,6,178,10,3.97,17.8,26.9,v Australia,Johannesburg,31 Mar 2006,1,1,1
GD McGrath (AUS),35,15,68,9,1.94,7.55,23.3,v Pakistan,Perth,16 Dec 2004,1,1,1
KJ Abbott (SA),28.4,11,68,9,2.37,7.55,19.1,v Pakistan,Centurion,22 Feb 2013,1,1,1
JM Anderson (ENG),36.1,12,73,9,2.01,8.11,24.1,v West Indies,Lord's,7 Sep 2017,1,1,1
CD Collymore (WI),31,8,85,9,2.74,9.44,20.6,v Sri Lanka,Kingston,27 Jun 2003,1,1,1
JN Gillespie (AUS),35,11,88,9,2.51,9.77,23.3,v West Indies,Melbourne,26 Dec 2000,1,1,1
ST Gabriel (WI),43,10,92,9,2.13,10.22,28.6,v Pakistan,Bridgetown,30 Apr 2017,1,1,1
JE Taylor (WI),33.4,8,95,9,2.82,10.55,22.4,v India,Kingston,30 Jun 2006,1,1,1
Shahadat Hossain (BDESH),34.3,8,97,9,2.81,10.77,23,v South Africa,Dhaka,22 Feb 2008,1,1,1
JM Anderson (ENG),36,11,98,9,2.72,10.88,24,v New Zealand,Nottingham,5 Jun 2008,1,1,1
VD Philander (SA),45,16,99,9,2.2,11,30,v Pakistan,Cape Town,14 Feb 2013,1,1,1
ML Cummins (WI),32.4,9,102,9,3.12,11.33,21.7,v India,Gros Islet,9 Aug 2016,1,1,1
PM Siddle (AUS),51.3,22,104,9,2.01,11.55,34.3,v Sri Lanka,Hobart,14 Dec 2012,1,1,1
M Zondeki (SA),35.3,9,105,9,2.95,11.66,23.6,v Zimbabwe,Centurion,11 Mar 2005,1,1,1
RJ Harris (AUS),26,5,106,9,4.07,11.77,17.3,v England,Perth,16 Dec 2010,1,1,1
