Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Harbhajan Singh (INDIA),80.1,26,217,15,2.7,14.46,32,v Australia,Chennai,18 Mar 2001,1,1,0
M Muralitharan (SL),66.4,26,115,13,1.72,8.84,30.7,v Zimbabwe,Kandy,4 Jan 2002,1,1,0
R Ashwin (INDIA),41.1,7,140,13,3.4,10.76,19,v New Zealand,Indore,8 Oct 2016,1,1,0
M Muralitharan (SL),76,13,171,13,2.25,13.15,35,v South Africa,Galle,20 Jul 2000,1,1,0
A Kumble (INDIA),64.3,12,181,13,2.8,13.92,29.7,v Australia,Chennai,14 Oct 2004,1,1,0
Harbhajan Singh (INDIA),68.2,15,196,13,2.86,15.07,31.5,v Australia,Kolkata,11 Mar 2001,1,1,0
M Muralitharan (SL),35.5,11,82,12,2.28,6.83,17.9,v Bangladesh,Kandy,11 Jul 2007,1,1,0
R Ashwin (INDIA),43.2,14,85,12,1.96,7.08,21.6,v New Zealand,Hyderabad (Deccan),23 Aug 2012,1,1,0
Danish Kaneria (PAK),28,6,94,12,3.35,7.83,14,v Bangladesh,Multan,29 Aug 2001,1,1,0
R Ashwin (INDIA),46,13,98,12,2.13,8.16,23,v South Africa,Nagpur,25 Nov 2015,1,1,0
Mehidy Hasan Miraz (BDESH),49.3,4,159,12,3.21,13.25,24.7,v England,Dhaka,28 Oct 2016,1,1,0
R Ashwin (INDIA),64.3,7,167,12,2.58,13.91,32.2,v England,Mumbai,8 Dec 2016,1,1,0
R Ashwin (INDIA),74,18,198,12,2.67,16.5,37,v Australia,Chennai,22 Feb 2013,1,1,0
M Muralitharan (SL),80.4,14,225,12,2.78,18.75,40.3,v South Africa,Colombo (PSS),4 Aug 2006,1,1,0
NM Lyon (AUS),70.1,9,286,12,4.07,23.83,35,v India,Adelaide,9 Dec 2014,1,1,0
M Muralitharan (SL),68.4,33,93,11,1.35,8.45,37.4,v England,Galle,2 Dec 2003,1,1,0
M Muralitharan (SL),42,7,110,11,2.61,10,22.9,v India,Colombo (SSC),23 Jul 2008,1,1,0
M Muralitharan (SL),85.1,21,170,11,1.99,15.45,46.4,v West Indies,Galle,13 Nov 2001,1,1,0
M Muralitharan (SL),81,26,196,11,2.41,17.81,44.1,v India,Colombo (SSC),29 Aug 2001,1,1,0
M Muralitharan (SL),77.3,14,212,11,2.73,19.27,42.2,v Australia,Galle,8 Mar 2004,1,1,0
Harbhajan Singh (INDIA),71.1,12,224,11,3.14,20.36,38.8,v Australia,Bengaluru,6 Oct 2004,1,1,0
S Shillingford (WI),36.5,8,93,10,2.52,9.3,22.1,v Zimbabwe,Roseau,20 Mar 2013,1,1,0
M Muralitharan (SL),44.4,12,98,10,2.19,9.8,26.8,v Bangladesh,Colombo (PSS),21 Jul 2002,1,1,0
MDK Perera (SL),38,9,99,10,2.6,9.9,22.8,v Australia,Galle,4 Aug 2016,1,1,0
MM Ali (ENG),35,11,112,10,3.2,11.2,21,v South Africa,Lord's,6 Jul 2017,1,1,0
SCG MacGill (AUS),44,12,133,10,3.02,13.3,26.4,v Bangladesh,Cairns,25 Jul 2003,1,1,0
M Muralitharan (SL),59.3,21,135,10,2.26,13.5,35.7,v West Indies,Kandy,21 Nov 2001,1,1,0
Harbhajan Singh (INDIA),53.2,10,141,10,2.64,14.1,32,v Sri Lanka,Ahmedabad,18 Dec 2005,1,1,0
A Kumble (INDIA),64,13,157,10,2.45,15.7,38.4,v Sri Lanka,Delhi,10 Dec 2005,1,1,0
PA Strang (ZIM),72.3,15,158,10,2.17,15.8,43.5,v New Zealand,Bulawayo,12 Sep 2000,1,1,0
A Kumble (INDIA),75.1,27,161,10,2.14,16.1,45.1,v Pakistan,Kolkata,16 Mar 2005,1,1,0
M Muralitharan (SL),82.2,17,172,10,2.08,17.2,49.4,v South Africa,Colombo (SSC),27 Jul 2006,1,1,0
Danish Kaneria (PAK),83,23,190,10,2.28,19,49.8,v Sri Lanka,Karachi,28 Oct 2004,1,1,0
BAW Mendis (SL),55.2,5,209,10,3.77,20.9,33.2,v India,Galle,31 Jul 2008,1,1,0
S Shillingford (WI),81.5,16,219,10,2.67,21.9,49.1,v Australia,Roseau,23 Apr 2012,1,1,0
R Ashwin (INDIA),66.2,12,225,10,3.39,22.5,39.8,v New Zealand,Kanpur,22 Sep 2016,1,1,0
A Kumble (INDIA),89,18,233,10,2.61,23.3,53.4,v England,Ahmedabad,11 Dec 2001,1,1,0
M Muralitharan (SL),24.4,5,60,9,2.43,6.66,16.4,v Bangladesh,Colombo (RPS),12 Sep 2005,1,1,0
M Muralitharan (SL),74.3,33,91,9,1.22,10.11,49.6,v Zimbabwe,Galle,12 Jan 2002,1,1,0
