Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
WPUJC Vaas (SL),57.2,8,191,14,3.33,13.64,24.5,v West Indies,Colombo (SSC),29 Nov 2001,1,0,1
MG Johnson (AUS),58.2,9,159,11,2.72,14.45,31.8,v South Africa,Perth,17 Dec 2008,1,0,1
TA Boult (NZ),27.5,7,80,10,2.87,8,16.7,v West Indies,Wellington,11 Dec 2013,1,0,1
MG Johnson (AUS),29.3,8,82,9,2.77,9.11,19.6,v England,Perth,16 Dec 2010,1,0,1
MG Johnson (AUS),38.1,9,103,9,2.69,11.44,25.4,v England,Brisbane,21 Nov 2013,1,0,1
PT Collins (WI),37,5,117,9,3.16,13,24.6,v Bangladesh,Kingston,4 Jun 2004,1,0,1
N Wagner (NZ),36.4,5,141,9,3.84,15.66,24.4,v West Indies,Wellington,1 Dec 2017,1,0,1
RJ Sidebottom (ENG),27,6,86,8,3.18,10.75,20.2,v West Indies,Leeds,25 May 2007,1,0,1
MG Johnson (AUS),39,9,88,8,2.25,11,29.2,v England,Melbourne,26 Dec 2013,1,0,1
MG Johnson (AUS),41.2,16,113,8,2.73,14.12,31,v England,Adelaide,5 Dec 2013,1,0,1
N Wagner (NZ),36,8,126,8,3.5,15.75,27,v India,Auckland,6 Feb 2014,1,0,1
Z Khan (INDIA),41.5,8,137,8,3.27,17.12,31.3,v Australia,Mohali,1 Oct 2010,1,0,1
MA Starc (AUS),39.2,7,137,8,3.48,17.12,29.5,v England,Adelaide,2 Dec 2017,1,0,1
DE Bollinger (AUS),40.3,6,141,8,3.48,17.62,30.3,v West Indies,Perth,16 Dec 2009,1,0,1
PT Collins (WI),54.4,13,156,8,2.85,19.5,41,v New Zealand,Bridgetown,21 Jun 2002,1,0,1
MG Johnson (AUS),48.1,4,208,8,4.31,26,36.1,v West Indies,Adelaide,4 Dec 2009,1,0,1
MA Starc (AUS),44.5,6,209,8,4.66,26.12,33.6,v South Africa,Perth,30 Nov 2012,1,0,1
WPUJC Vaas (SL),34.4,13,50,7,1.44,7.14,29.7,v West Indies,Colombo (SSC),13 Jul 2005,1,0,1
SB O'Connor (NZ),26.5,6,104,7,3.87,14.85,23,v Australia,Hamilton,31 Mar 2000,1,0,1
RJ Sidebottom (ENG),41,11,116,7,2.82,16.57,35.1,v New Zealand,Nottingham,5 Jun 2008,1,0,1
JEC Franklin (NZ),41,15,117,7,2.85,16.71,35.1,v West Indies,Wellington,17 Mar 2006,1,0,1
TA Boult (NZ),54,22,123,7,2.27,17.57,46.2,v England,Auckland,22 Mar 2013,1,0,1
TA Boult (NZ),50,12,125,7,2.5,17.85,42.8,v Sri Lanka,Christchurch,26 Dec 2014,1,0,1
TA Boult (NZ),41,7,139,7,3.39,19.85,35.1,v Bangladesh,Christchurch,20 Jan 2017,1,0,1
N Wagner (NZ),50.1,10,166,7,3.3,23.71,43,v Australia,Christchurch,20 Feb 2016,1,0,1
MA Starc (AUS),56,12,182,7,3.25,26,48,v Pakistan,Brisbane,15 Dec 2016,1,0,1
N Wagner (NZ),54,11,183,7,3.38,26.14,46.2,v England,Dunedin,6 Mar 2013,1,0,1
WPUJC Vaas (SL),15,6,22,6,1.46,3.66,15,v West Indies,Kandy,22 Jul 2005,1,0,1
WPUJC Vaas (SL),18,8,29,6,1.61,4.83,18,v South Africa,Colombo (SSC),11 Aug 2004,1,0,1
WPUJC Vaas (SL),27.5,6,73,6,2.62,12.16,27.8,v England,Colombo (SSC),15 Mar 2001,1,0,1
WPUJC Vaas (SL),41,11,78,6,1.9,13,41,v England,Kandy,7 Mar 2001,1,0,1
MG Johnson (AUS),40,16,82,6,2.05,13.66,40,v Pakistan,Melbourne,26 Dec 2009,1,0,1
WD Parnell (SA),21.1,3,89,6,4.2,14.83,21.1,v Sri Lanka,Johannesburg,12 Jan 2017,1,0,1
WPUJC Vaas (SL),35,10,95,6,2.71,15.83,35,v West Indies,Kandy,21 Nov 2001,1,0,1
DE Bollinger (AUS),33.5,8,104,6,3.07,17.33,33.8,v Pakistan,Sydney,3 Jan 2010,1,0,1
RJ Sidebottom (ENG),41,9,107,6,2.6,17.83,41,v India,Lord's,19 Jul 2007,1,0,1
WPUJC Vaas (SL),48,14,115,6,2.39,19.16,48,v West Indies,Galle,13 Nov 2001,1,0,1
N Wagner (NZ),34.1,6,116,6,3.39,19.33,34.1,v Pakistan,Hamilton,25 Nov 2016,1,0,1
T Thushara (SL),37,5,118,6,3.18,19.66,37,v New Zealand,Galle,18 Aug 2009,1,0,1
JEC Franklin (NZ),26.1,3,119,6,4.54,19.83,26.1,v Australia,Auckland,26 Mar 2005,1,0,1
RJ Sidebottom (ENG),49.4,16,120,6,2.41,20,49.6,v New Zealand,Lord's,15 May 2008,1,0,1
TA Boult (NZ),40.3,4,124,6,3.06,20.66,40.5,v India,Auckland,6 Feb 2014,1,0,1
TA Boult (NZ),36.5,6,125,6,3.39,20.83,36.8,v West Indies,Hamilton,9 Dec 2017,1,0,1
MA Starc (AUS),37.5,9,126,6,3.33,21,37.8,v New Zealand,Brisbane,5 Nov 2015,1,0,1
MA Starc (AUS),44,5,128,6,2.9,21.33,44,v England,Brisbane,23 Nov 2017,1,0,1
BV Vitori (ZIM),48.5,13,130,6,2.66,21.66,48.8,v Pakistan,Harare,10 Sep 2013,1,0,1
WPUJC Vaas (SL),53.2,11,136,6,2.55,22.66,53.3,v England,Kandy,10 Dec 2003,1,0,1
