Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
HMRKB Herath (SL),55.2,5,184,14,3.32,13.14,23.7,v Pakistan,Colombo (SSC),14 Aug 2014,1,0,0
HMRKB Herath (SL),56.2,14,145,13,2.57,11.15,26,v Australia,Colombo (SSC),13 Aug 2016,1,0,0
DL Vettori (NZ),60,19,149,12,2.48,12.41,30,v Australia,Auckland,11 Mar 2000,1,0,0
HMRKB Herath (SL),64.3,15,157,12,2.43,13.08,32.2,v Bangladesh,Colombo (RPS),16 Mar 2013,1,0,0
HMRKB Herath (SL),57,14,171,12,3,14.25,28.5,v England,Galle,26 Mar 2012,1,0,0
Enamul Haque jnr (BDESH),73,17,200,12,2.73,16.66,36.5,v Zimbabwe,Dhaka,14 Jan 2005,1,0,0
HMRKB Herath (SL),48,8,108,11,2.25,9.81,26.1,v New Zealand,Galle,17 Nov 2012,1,0,0
HMRKB Herath (SL),71.1,9,249,11,3.49,22.63,38.8,v Zimbabwe,Colombo (RPS),14 Jul 2017,1,0,0
PP Ojha (INDIA),29.2,8,89,10,3.03,8.9,17.6,v West Indies,Mumbai,14 Nov 2013,1,0,0
Shakib Al Hasan (BDESH),59,16,124,10,2.1,12.4,35.4,v Zimbabwe,Khulna,3 Nov 2014,1,0,0
HMRKB Herath (SL),55,14,147,10,2.67,14.7,33,v West Indies,Galle,14 Oct 2015,1,0,0
Shakib Al Hasan (BDESH),53.5,14,153,10,2.84,15.3,32.3,v Australia,Dhaka,27 Aug 2017,1,0,0
RA Jadeja (INDIA),70,14,154,10,2.2,15.4,42,v England,Chennai,16 Dec 2016,1,0,0
RW Price (ZIM),75.2,24,161,10,2.13,16.1,45.2,v West Indies,Harare,4 Nov 2003,1,0,0
DL Vettori (NZ),56.3,7,183,10,3.23,18.3,33.9,v Sri Lanka,Wellington,15 Dec 2006,1,0,0
MS Panesar (ENG),68.3,18,187,10,2.72,18.7,41.1,v West Indies,Manchester,7 Jun 2007,1,0,0
ST Jayasuriya (SL),47,15,74,9,1.57,8.22,31.3,v Zimbabwe,Galle,12 Jan 2002,1,0,0
Taijul Islam (BDESH),29.5,10,81,9,2.71,9,19.8,v Zimbabwe,Dhaka,25 Oct 2014,1,0,0
HMRKB Herath (SL),58.3,24,103,9,1.76,11.44,39,v Australia,Pallekele,26 Jul 2016,1,0,0
HMRKB Herath (SL),90,47,111,9,1.23,12.33,60,v South Africa,Colombo (SSC),24 Jul 2014,1,0,0
Shakib Al Hasan (BDESH),70.4,24,115,9,1.62,12.77,47.1,v New Zealand,Chittagong,17 Oct 2008,1,0,0
AF Giles (ENG),51.3,16,122,9,2.36,13.55,34.3,v West Indies,Birmingham,29 Jul 2004,1,0,0
HMRKB Herath (SL),46.4,9,131,9,2.8,14.55,31.1,v Bangladesh,Galle,7 Mar 2017,1,0,0
Mohammad Rafique (BDESH),70.2,15,160,9,2.27,17.77,46.8,v Australia,Fatullah,9 Apr 2006,1,0,0
PL Harris (SA),59.5,14,161,9,2.69,17.88,39.8,v Australia,Cape Town,19 Mar 2009,1,0,0
HMRKB Herath (SL),68.2,20,164,9,2.4,18.22,45.5,v Pakistan,Galle,6 Aug 2014,1,0,0
PP Ojha (INDIA),77.2,24,165,9,2.13,18.33,51.5,v England,Ahmedabad,15 Nov 2012,1,0,0
HMRKB Herath (SL),70,13,170,9,2.42,18.88,46.6,v New Zealand,Colombo (PSS),25 Nov 2012,1,0,0
RA Jadeja (INDIA),93.3,26,178,9,1.9,19.77,62.3,v Australia,Ranchi,16 Mar 2017,1,0,0
AF Giles (ENG),75.4,14,210,9,2.77,23.33,50.4,v West Indies,Lord's,22 Jul 2004,1,0,0
RW Price (ZIM),64,8,235,9,3.67,26.11,42.6,v West Indies,Bulawayo,12 Nov 2003,1,0,0
RA Jadeja (INDIA),29.5,4,76,8,2.54,9.5,22.3,v South Africa,Mohali,5 Nov 2015,1,0,0
ST Jayasuriya (SL),59,20,94,8,1.59,11.75,44.2,v England,Galle,22 Feb 2001,1,0,0
SJ Benn (WI),58.4,15,108,8,1.84,13.5,44,v England,Kingston,4 Feb 2009,1,0,0
HMRKB Herath (SL),47,6,133,8,2.82,16.62,35.2,v Australia,Galle,31 Aug 2011,1,0,0
SJ Benn (WI),71.5,12,194,8,2.7,24.25,53.8,v South Africa,Port of Spain,10 Jun 2010,1,0,0
HMRKB Herath (SL),82,20,209,8,2.54,26.12,61.5,v New Zealand,Colombo (SSC),26 Aug 2009,1,0,0
Abdur Rehman (PAK),69,9,210,8,3.04,26.25,51.7,v South Africa,Karachi,1 Oct 2007,1,0,0
HMRKB Herath (SL),79,16,235,8,2.97,29.37,59.2,v Australia,Colombo (SSC),16 Sep 2011,1,0,0
