Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
M Ntini (SA),47.5,10,132,13,2.75,10.15,22,v West Indies,Port of Spain,8 Apr 2005,0,1,1
MJ Hoggard (ENG),52.3,7,205,12,3.9,17.08,26.2,v South Africa,Johannesburg,13 Jan 2005,0,1,1
Mohammad Asif (PAK),35,13,71,11,2.02,6.45,19,v Sri Lanka,Kandy,3 Apr 2006,0,1,1
Shoaib Akhtar (PAK),38.3,8,78,11,2.02,7.09,21,v New Zealand,Wellington,26 Dec 2003,0,1,1
A Nel (SA),37.4,6,88,10,2.33,8.8,22.6,v West Indies,Bridgetown,21 Apr 2005,0,1,1
SE Bond (NZ),31,5,99,10,3.19,9.9,18.6,v Zimbabwe,Bulawayo,15 Aug 2005,0,1,1
DW Steyn (SA),34.5,7,108,10,3.1,10.8,20.9,v India,Nagpur,6 Feb 2010,0,1,1
I Sharma (INDIA),41.2,11,108,10,2.61,10.8,24.8,v West Indies,Bridgetown,28 Jun 2011,0,1,1
TG Southee (NZ),47.2,12,108,10,2.28,10.8,28.4,v England,Lord's,16 May 2013,0,1,1
VD Philander (SA),30.5,6,114,10,3.69,11.4,18.5,v New Zealand,Hamilton,15 Mar 2012,0,1,1
CA Walsh (WI),40.5,11,117,10,2.86,11.7,24.5,v England,Lord's,29 Jun 2000,0,1,1
DW Steyn (SA),49.2,9,154,10,3.12,15.4,29.6,v Australia,Melbourne,26 Dec 2008,0,1,1
AR Caddick (ENG),45,8,215,10,4.77,21.5,27,v Australia,Sydney,2 Jan 2003,0,1,1
M Ntini (SA),48,8,220,10,4.58,22,28.8,v England,Lord's,31 Jul 2003,0,1,1
DAJ Bracewell (NZ),26.4,7,60,9,2.25,6.66,17.7,v Australia,Hobart,9 Dec 2011,0,1,1
HH Streak (ZIM),41,17,72,9,1.75,8,27.3,v West Indies,Port of Spain,16 Mar 2000,0,1,1
SJ Harmison (ENG),33.3,14,73,9,2.17,8.11,22.3,v West Indies,Kingston,11 Mar 2004,0,1,1
SJ Harmison (ENG),46.5,17,79,9,1.68,8.77,31.2,v Bangladesh,Dhaka,21 Oct 2003,0,1,1
JN Gillespie (AUS),38.5,15,80,9,2.06,8.88,25.8,v India,Nagpur,26 Oct 2004,0,1,1
GD McGrath (AUS),35.1,7,82,9,2.33,9.11,23.4,v England,Lord's,21 Jul 2005,0,1,1
SR Clark (AUS),33,10,89,9,2.69,9.88,22,v South Africa,Cape Town,16 Mar 2006,0,1,1
JH Kallis (SA),37.1,11,92,9,2.47,10.22,24.7,v England,Leeds,21 Aug 2003,0,1,1
RL Johnson (ENG),33.1,7,93,9,2.8,10.33,22.1,v Bangladesh,Chittagong,29 Oct 2003,0,1,1
SM Pollock (SA),60.5,25,94,9,1.54,10.44,40.5,v West Indies,Kingston,19 Apr 2001,0,1,1
DW Steyn (SA),40,12,99,9,2.47,11,26.6,v Sri Lanka,Galle,16 Jul 2014,0,1,1
Mohammad Asif (PAK),36.4,11,107,9,2.91,11.88,24.4,v New Zealand,Wellington,3 Dec 2009,0,1,1
PVD Chameera (SL),30,4,115,9,3.83,12.77,20,v New Zealand,Hamilton,18 Dec 2015,0,1,1
KJ Abbott (SA),35.5,6,118,9,3.29,13.11,23.8,v Australia,Hobart,12 Nov 2016,0,1,1
Robiul Islam (BDESH),57,12,155,9,2.71,17.22,38,v Zimbabwe,Harare,17 Apr 2013,0,1,1
I Sharma (INDIA),44,7,162,9,3.68,18,29.3,v New Zealand,Auckland,6 Feb 2014,0,1,1
AR Caddick (ENG),43,16,172,9,4,19.11,28.6,v New Zealand,Christchurch,13 Mar 2002,0,1,1
CL Cairns (NZ),48.3,7,187,9,3.85,20.77,32.3,v England,Nottingham,10 Jun 2004,0,1,1
RJ Harris (AUS),47,5,187,9,3.97,20.77,31.3,v England,Chester-le-Street,9 Aug 2013,0,1,1
SL Malinga (SL),58.4,9,210,9,3.57,23.33,39.1,v New Zealand,Napier,4 Apr 2005,0,1,1
GD McGrath (AUS),26.3,10,49,8,1.84,6.12,19.8,v South Africa,Johannesburg,22 Feb 2002,0,1,1
CA Walsh (WI),40,19,58,8,1.45,7.25,30,v England,Birmingham,15 Jun 2000,0,1,1
DW Steyn (SA),44,20,84,8,1.9,10.5,33,v Zimbabwe,Harare,9 Aug 2014,0,1,1
I Sharma (INDIA),34,7,86,8,2.52,10.75,25.5,v Sri Lanka,Colombo (SSC),28 Aug 2015,0,1,1
SR Clark (AUS),39,10,91,8,2.33,11.37,29.2,v West Indies,Kingston,22 May 2008,0,1,1
Mohammad Asif (PAK),47,14,94,8,2,11.75,35.2,v Australia,Sydney,3 Jan 2010,0,1,1
DW Steyn (SA),29.3,6,94,8,3.18,11.75,22.1,v West Indies,Port of Spain,10 Jun 2010,0,1,1
DJG Sammy (WI),38.3,9,98,8,2.54,12.25,28.8,v England,Manchester,7 Jun 2007,0,1,1
S Sreesanth (INDIA),35,11,99,8,2.82,12.37,26.2,v South Africa,Johannesburg,15 Dec 2006,0,1,1
SCJ Broad (ENG),34.1,11,99,8,2.89,12.37,25.6,v South Africa,Johannesburg,14 Jan 2016,0,1,1
JJC Lawson (WI),26.3,4,102,8,3.84,12.75,19.8,v Sri Lanka,Colombo (SSC),13 Jul 2005,0,1,1
Aizaz Cheema (PAK),40.1,16,103,8,2.56,12.87,30.1,v Zimbabwe,Bulawayo,1 Sep 2011,0,1,1
J Srinath (INDIA),47,15,104,8,2.21,13,35.2,v South Africa,Port Elizabeth,16 Nov 2001,0,1,1
SM Pollock (SA),53.4,22,104,8,1.93,13,40.2,v England,Nottingham,14 Aug 2003,0,1,1
Mohammad Sami (PAK),46.4,15,106,8,2.27,13.25,35,v New Zealand,Auckland,8 Mar 2001,0,1,1
B Lee (AUS),42,12,110,8,2.61,13.75,31.5,v West Indies,North Sound,30 May 2008,0,1,1
GD McGrath (AUS),43,13,114,8,2.65,14.25,32.2,v England,Lord's,19 Jul 2001,0,1,1
Shabbir Ahmed (PAK),40.5,8,119,8,2.91,14.87,30.6,v West Indies,Kingston,3 Jun 2005,0,1,1
TG Southee (NZ),42,9,120,8,2.85,15,31.5,v Sri Lanka,Colombo (PSS),25 Nov 2012,0,1,1
B Lee (AUS),41.4,10,123,8,2.95,15.37,31.2,v New Zealand,Hamilton,31 Mar 2000,0,1,1
D Gough (ENG),36,7,123,8,3.41,15.37,27,v Sri Lanka,Kandy,7 Mar 2001,0,1,1
TG Southee (NZ),42,9,132,8,3.14,16.5,31.5,v India,Bengaluru,31 Aug 2012,0,1,1
FH Edwards (WI),40.4,6,133,8,3.27,16.62,30.5,v New Zealand,Napier,19 Dec 2008,0,1,1
PM Siddle (AUS),47.5,16,135,8,2.82,16.87,35.8,v England,Nottingham,10 Jul 2013,0,1,1
SCJ Broad (ENG),40,7,136,8,3.4,17,30,v Australia,Brisbane,21 Nov 2013,0,1,1
