Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
IK Pathan (INDIA),34.2,7,126,12,3.66,10.5,17.1,v Zimbabwe,Harare,20 Sep 2005,0,0,1
MG Johnson (AUS),33.1,4,127,12,3.82,10.58,16.5,v South Africa,Centurion,12 Feb 2014,0,0,1
MA Starc (AUS),28.4,8,94,11,3.27,8.54,15.6,v Sri Lanka,Galle,4 Aug 2016,0,0,1
IK Pathan (INDIA),31,10,96,11,3.09,8.72,16.9,v Bangladesh,Dhaka,10 Dec 2004,0,0,1
Wasim Akram (PAK),56.2,19,110,11,1.95,10,30.7,v West Indies,St John's,25 May 2000,0,0,1
MG Johnson (AUS),36.1,8,132,10,3.64,13.2,21.7,v New Zealand,Hamilton,27 Mar 2010,0,0,1
RJ Sidebottom (ENG),51.3,12,139,10,2.69,13.9,30.9,v New Zealand,Hamilton,5 Mar 2008,0,0,1
Z Khan (INDIA),39.3,5,149,10,3.77,14.9,23.7,v Bangladesh,Dhaka,24 Jan 2010,0,0,1
IK Pathan (INDIA),30.5,7,111,9,3.6,12.33,20.5,v Zimbabwe,Bulawayo,13 Sep 2005,0,0,1
Z Khan (INDIA),48,15,134,9,2.79,14.88,32,v England,Nottingham,27 Jul 2007,0,0,1
TA Boult (NZ),63,14,164,9,2.6,18.22,42,v England,Lord's,21 May 2015,0,0,1
N Wagner (NZ),37.5,9,103,8,2.72,12.87,28.3,v Zimbabwe,Bulawayo,28 Jul 2016,0,0,1
WPUJC Vaas (SL),47.2,14,109,8,2.3,13.62,35.5,v West Indies,Providence,22 Mar 2008,0,0,1
RJ Sidebottom (ENG),41.3,9,130,8,3.13,16.25,31.1,v New Zealand,Napier,22 Mar 2008,0,0,1
MG Johnson (AUS),52.3,9,137,8,2.6,17.12,39.3,v South Africa,Johannesburg,26 Feb 2009,0,0,1
Mohammad Amir (PAK),40,15,64,7,1.6,9.14,34.2,v West Indies,Kingston,21 Apr 2017,0,0,1
TA Boult (NZ),38.5,13,75,7,1.93,10.71,33.2,v Sri Lanka,Colombo (PSS),25 Nov 2012,0,0,1
WPUJC Vaas (SL),32.3,10,82,7,2.52,11.71,27.8,v Australia,Darwin,1 Jul 2004,0,0,1
Rahat Ali (PAK),43.5,12,100,7,2.28,14.28,37.5,v Zimbabwe,Harare,10 Sep 2013,0,0,1
TA Boult (NZ),33,8,101,7,3.06,14.42,28.2,v Australia,Adelaide,27 Nov 2015,0,0,1
DE Bollinger (AUS),40,7,108,7,2.7,15.42,34.2,v New Zealand,Wellington,19 Mar 2010,0,0,1
SB O'Connor (NZ),73,26,116,7,1.58,16.57,62.5,v Zimbabwe,Harare,19 Sep 2000,0,0,1
N Wagner (NZ),37,9,116,7,3.13,16.57,31.7,v Bangladesh,Dhaka,21 Oct 2013,0,0,1
RP Singh (INDIA),33.3,9,117,7,3.49,16.71,28.7,v England,Lord's,19 Jul 2007,0,0,1
Z Khan (INDIA),37.3,8,122,7,3.25,17.42,32.1,v New Zealand,Wellington,3 Apr 2009,0,0,1
Z Khan (INDIA),51,10,130,7,2.54,18.57,43.7,v Australia,Melbourne,26 Dec 2011,0,0,1
MG Johnson (AUS),53,16,134,7,2.52,19.14,45.4,v South Africa,Cape Town,1 Mar 2014,0,0,1
MA Starc (AUS),44.4,15,135,7,3.02,19.28,38.2,v Sri Lanka,Colombo (SSC),13 Aug 2016,0,0,1
Z Khan (INDIA),45,10,138,7,3.06,19.71,38.5,v Sri Lanka,Kandy,22 Aug 2001,0,0,1
MA Starc (AUS),40.1,8,174,7,4.33,24.85,34.4,v England,Cardiff,8 Jul 2015,0,0,1
PT Collins (WI),38.4,3,175,7,4.52,25,33.1,v England,Lord's,22 Jul 2004,0,0,1
Z Khan (INDIA),51.4,11,196,7,3.79,28,44.2,v Pakistan,Faisalabad,21 Jan 2006,0,0,1
MA Starc (AUS),33,12,76,6,2.3,12.66,33,v West Indies,Roseau,3 Jun 2015,0,0,1
MG Johnson (AUS),30.1,11,80,6,2.65,13.33,30.1,v England,Lord's,16 Jul 2015,0,0,1
Manjural Islam (BDESH),35,12,81,6,2.31,13.5,35,v Zimbabwe,Bulawayo,19 Apr 2001,0,0,1
Mohammad Amir (PAK),28,6,84,6,3,14,28,v England,Lord's,26 Aug 2010,0,0,1
Z Khan (INDIA),26.2,4,85,6,3.22,14.16,26.3,v New Zealand,Hamilton,19 Dec 2002,0,0,1
Z Khan (INDIA),30,5,93,6,3.1,15.5,30,v South Africa,Durban,26 Dec 2010,0,0,1
Wasim Akram (PAK),35.3,7,100,6,2.81,16.66,35.5,v Sri Lanka,Colombo (SSC),14 Jun 2000,0,0,1
Mohammad Amir (PAK),34,9,101,6,2.97,16.83,34,v England,The Oval,18 Aug 2010,0,0,1
N Wagner (NZ),49,9,104,6,2.12,17.33,49,v South Africa,Centurion,27 Aug 2016,0,0,1
WPUJC Vaas (SL),40,12,108,6,2.7,18,40,v New Zealand,Wellington,11 Apr 2005,0,0,1
MA Starc (AUS),27,2,111,6,4.11,18.5,27,v England,Nottingham,6 Aug 2015,0,0,1
Mohammad Amir (PAK),30,5,112,6,3.73,18.66,30,v Sri Lanka,Galle,4 Jul 2009,0,0,1
Junaid Khan (PAK),38.2,3,115,6,3,19.16,38.3,v Sri Lanka,Pallekele,8 Jul 2012,0,0,1
A Nehra (INDIA),37,6,117,6,3.16,19.5,37,v Zimbabwe,Harare,15 Jun 2001,0,0,1
PT Collins (WI),39.1,11,118,6,3.01,19.66,39.1,v Bangladesh,Chittagong,16 Dec 2002,0,0,1
IK Pathan (INDIA),49,17,126,6,2.57,21,49,v Pakistan,Multan,28 Mar 2004,0,0,1
Rahat Ali (PAK),27.2,1,127,6,4.64,21.16,27.3,v South Africa,Centurion,22 Feb 2013,0,0,1
JEC Franklin (NZ),32,5,135,6,4.21,22.5,32,v South Africa,Centurion,15 Apr 2006,0,0,1
MA Starc (AUS),30,5,135,6,4.5,22.5,30,v Sri Lanka,Pallekele,26 Jul 2016,0,0,1
Z Khan (INDIA),46.2,10,141,6,3.04,23.5,46.3,v England,Lord's,19 Jul 2007,0,0,1
RJ Sidebottom (ENG),48,13,141,6,2.93,23.5,48,v New Zealand,Wellington,13 Mar 2008,0,0,1
