Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
HMRKB Herath (SL),49,10,152,13,3.1,11.69,22.6,v Zimbabwe,Harare,6 Nov 2016,0,0,0
SNJ O'Keefe (AUS),28.1,6,70,12,2.48,5.83,14,v India,Pune,23 Feb 2017,0,0,0
DL Vettori (NZ),60.4,21,170,12,2.8,14.16,30.3,v Bangladesh,Chittagong,26 Oct 2004,0,0,0
MS Panesar (ENG),69,15,210,11,3.04,19.09,37.6,v India,Mumbai,23 Nov 2012,0,0,0
PR Adams (SA),31.1,8,106,10,3.4,10.6,18.7,v Bangladesh,Chittagong,24 Apr 2003,0,0,0
HMRKB Herath (SL),50.3,14,128,9,2.53,14.22,33.6,v South Africa,Durban,26 Dec 2011,0,0,0
DL Vettori (NZ),78,28,133,9,1.7,14.77,52,v Bangladesh,Chittagong,17 Oct 2008,0,0,0
DL Vettori (NZ),51,28,54,8,1.05,6.75,38.2,v Bangladesh,Dhaka,19 Oct 2004,0,0,0
KA Maharaj (SA),36.2,11,87,8,2.39,10.87,27.2,v New Zealand,Wellington,16 Mar 2017,0,0,0
GW Flower (ZIM),54.1,21,104,8,1.92,13,40.6,v Bangladesh,Chittagong,15 Nov 2001,0,0,0
Shakib Al Hasan (BDESH),46,10,129,8,2.8,16.12,34.5,v West Indies,St George's,17 Jul 2009,0,0,0
AF Giles (ENG),72.5,23,132,8,1.81,16.5,54.6,v Sri Lanka,Galle,2 Dec 2003,0,0,0
N Boje (SA),53.2,9,134,8,2.51,16.75,40,v New Zealand,Wellington,26 Mar 2004,0,0,0
DL Vettori (NZ),81.1,27,141,8,1.73,17.62,60.8,v Zimbabwe,Bulawayo,1 Nov 2011,0,0,0
SB Joshi (INDIA),63.3,13,169,8,2.66,21.12,47.6,v Bangladesh,Dhaka,10 Nov 2000,0,0,0
PR Adams (SA),56,12,185,8,3.3,23.12,42,v Pakistan,Lahore,17 Oct 2003,0,0,0
AF Giles (ENG),59.4,10,217,8,3.63,27.12,44.7,v Sri Lanka,Kandy,10 Dec 2003,0,0,0
DL Vettori (NZ),79.4,18,229,8,2.87,28.62,59.7,v Australia,Perth,30 Nov 2001,0,0,0
MS Panesar (ENG),58,7,237,8,4.08,29.62,43.5,v Australia,Perth,14 Dec 2006,0,0,0
DL Vettori (NZ),31.1,5,80,7,2.56,11.42,26.7,v West Indies,Bridgetown,21 Jun 2002,0,0,0
N Boje (SA),53,20,93,7,1.75,13.28,45.4,v India,Bengaluru,2 Mar 2000,0,0,0
Mohammad Rafique (BDESH),47.4,13,116,7,2.43,16.57,40.8,v Pakistan,Multan,3 Sep 2003,0,0,0
PL Harris (SA),66,21,131,7,1.98,18.71,56.5,v Pakistan,Karachi,1 Oct 2007,0,0,0
