overs,mdns,runs,wkts,econ,ave,strike_rate,opposition,ground,home_away,bowling_arm,pace_spin,player,country,year,balls,year1_mtchs_pld,year2_mtchs_pld,year3_mtchs_pld,year4_mtchs_pld,year5_mtchs_pld,year1_wkts_pm,year2_wkts_pm,year3_wkts_pm,year4_wkts_pm,year5_wkts_pm,bowler_agnst_oppo,oppo_agnst_bowl_typ,bowl_home_adv,ground_bowl_typ
32,6,105,6,3.28,17.5,32,West Indies,Manchester,1,1,1,A Flintoff,England,2004,192,,,,,,,,,,,,,,
34,5,108,4,3.17,27,51,New Zealand,Nottingham,1,1,1,A Flintoff,England,2004,204,,,,,,,,,,,,,,
10,4,25,3,2.5,8.33,20,West Indies,Lord's,1,1,1,A Flintoff,England,2004,60,,,,,,,,,,,,,,
37.5,12,103,3,2.72,34.33,75.6,New Zealand,Lord's,1,1,1,A Flintoff,England,2004,223,,,,,,,,,,,,,,
15,1,52,2,3.46,26,45,West Indies,Birmingham,1,1,1,A Flintoff,England,2004,90,,,,,,,,,,,,,,
27,7,64,2,2.37,32,81,New Zealand,Leeds,1,1,1,A Flintoff,England,2004,162,,,,,,,,,,,,,,
17,3,64,1,3.76,64,102,West Indies,The Oval,1,1,1,A Flintoff,England,2004,102,,,,,,,,,,,,,,
29.2,6,78,7,2.65,11.14,25.1,West Indies,Bridgetown,0,1,1,A Flintoff,England,2004,176,,,,,,,,,,,,,,
37,6,119,5,3.21,23.8,44.4,South Africa,Port Elizabeth,0,1,1,A Flintoff,England,2004,222,,,,,,,,,,,,,,
37,10,104,3,2.81,34.66,74,South Africa,Durban,0,1,1,A Flintoff,England,2004,222,,,,,,,,,,,,,,
22,4,65,2,2.95,32.5,66,West Indies,Port of Spain,0,1,1,A Flintoff,England,2004,132,,,,,,,,,,,,,,
16,3,45,1,2.81,45,96,West Indies,Kingston,0,1,1,A Flintoff,England,2004,96,,,,,,,,,,,,,,
35,8,109,1,3.11,109,210,West Indies,St John's,0,1,1,A Flintoff,England,2004,210,,,,,,,,,,,,,,
29,8,71,4,2.44,17.75,43.5,England,Port of Spain,1,0,1,PT Collins,West Indies,2004,174,,,,,,,,,,,,,,
26,4,76,4,2.92,19,39,England,St John's,1,0,1,PT Collins,West Indies,2004,156,,,,,,,,,,,,,,
23,6,60,3,2.6,20,46,England,Bridgetown,1,0,1,PT Collins,West Indies,2004,138,,,,,,,,,,,,,,
38.4,3,175,7,4.52,25,33.1,England,Lord's,0,0,1,PT Collins,West Indies,2004,232,,,,,,,,,,,,,,
10.2,1,29,1,2.8,29,62,England,Manchester,0,0,1,PT Collins,West Indies,2004,62,,,,,,,,,,,,,,
18,1,90,1,5,90,108,England,Birmingham,0,0,1,PT Collins,West Indies,2004,108,,,,,,,,,,,,,,
35,9,78,5,2.22,15.6,42,New Zealand,Adelaide,1,1,1,JN Gillespie,Australia,2004,210,,,,,,,,,,,,,,
55.4,12,155,5,2.78,31,66.8,Sri Lanka,Cairns,1,1,1,JN Gillespie,Australia,2004,334,,,,,,,,,,,,,,
39,12,103,3,2.64,34.33,78,New Zealand,Brisbane,1,1,1,JN Gillespie,Australia,2004,234,,,,,,,,,,,,,,
45,11,135,3,3,45,90,India,Sydney,1,1,1,JN Gillespie,Australia,2004,270,,,,,,,,,,,,,,
26,6,55,2,2.11,27.5,78,Sri Lanka,Darwin,1,1,1,JN Gillespie,Australia,2004,156,,,,,,,,,,,,,,
38.5,15,80,9,2.06,8.88,25.8,India,Nagpur,0,1,1,JN Gillespie,Australia,2004,233,,,,,,,,,,,,,,
31,7,96,5,3.09,19.2,37.2,India,Bengaluru,0,1,1,JN Gillespie,Australia,2004,186,,,,,,,,,,,,,,
32,5,101,5,3.15,20.2,38.4,Sri Lanka,Kandy,0,1,1,JN Gillespie,Australia,2004,192,,,,,,,,,,,,,,
27,3,76,4,2.81,19,40.5,India,Mumbai,0,1,1,JN Gillespie,Australia,2004,162,,,,,,,,,,,,,,
41,9,134,4,3.26,33.5,61.5,Sri Lanka,Colombo (SSC),0,1,1,JN Gillespie,Australia,2004,246,,,,,,,,,,,,,,
35,8,70,2,2,35,105,India,Chennai,0,1,1,JN Gillespie,Australia,2004,210,,,,,,,,,,,,,,
28,9,61,1,2.17,61,168,Sri Lanka,Galle,0,1,1,JN Gillespie,Australia,2004,168,,,,,,,,,,,,,,
22,1,95,2,4.31,47.5,66,England,Port Elizabeth,1,1,1,AJ Hall,South Africa,2004,132,,,,,,,,,,,,,,
11,0,65,0,5.9,1000,1000,West Indies,Centurion,1,1,1,AJ Hall,South Africa,2004,66,,,,,,,,,,,,,,
25.4,7,93,3,3.62,31,51.3,India,Kanpur,0,1,1,AJ Hall,South Africa,2004,154,,,,,,,,,,,,,,
27,5,68,1,2.51,68,162,India,Kolkata,0,1,1,AJ Hall,South Africa,2004,162,,,,,,,,,,,,,,
34,5,153,6,4.5,25.5,34,West Indies,Birmingham,1,1,1,MJ Hoggard,England,2004,204,,,,,,,,,,,,,,
42,10,168,6,4,28,42,New Zealand,Leeds,1,1,1,MJ Hoggard,England,2004,252,,,,,,,,,,,,,,
22,3,83,4,3.77,20.75,33,West Indies,Manchester,1,1,1,MJ Hoggard,England,2004,132,,,,,,,,,,,,,,
42,9,154,4,3.66,38.5,63,West Indies,Lord's,1,1,1,MJ Hoggard,England,2004,252,,,,,,,,,,,,,,
25,6,85,2,3.4,42.5,75,New Zealand,Nottingham,1,1,1,MJ Hoggard,England,2004,150,,,,,,,,,,,,,,
12,5,50,1,4.16,50,72,West Indies,The Oval,1,1,1,MJ Hoggard,England,2004,72,,,,,,,,,,,,,,
36,10,107,1,2.97,107,216,New Zealand,Lord's,1,1,1,MJ Hoggard,England,2004,216,,,,,,,,,,,,,,
30,9,69,5,2.3,13.8,36,West Indies,Bridgetown,0,1,1,MJ Hoggard,England,2004,180,,,,,,,,,,,,,,
42,11,116,5,2.76,23.2,50.4,South Africa,Durban,0,1,1,MJ Hoggard,England,2004,252,,,,,,,,,,,,,,
32,6,94,4,2.93,23.5,48,South Africa,Port Elizabeth,0,1,1,MJ Hoggard,England,2004,192,,,,,,,,,,,,,,
18.4,3,68,3,3.64,22.66,37.3,West Indies,Kingston,0,1,1,MJ Hoggard,England,2004,112,,,,,,,,,,,,,,
31,8,86,3,2.77,28.66,62,West Indies,Port of Spain,0,1,1,MJ Hoggard,England,2004,186,,,,,,,,,,,,,,
18,2,82,0,4.55,1000,1000,West Indies,St John's,0,1,1,MJ Hoggard,England,2004,108,,,,,,,,,,,,,,
16.5,6,20,2,1.18,10,50.5,England,Port of Spain,1,1,0,CH Gayle,West Indies,2004,101,,,,,,,,,,,,,,
13,3,32,0,2.46,1000,1000,England,Bridgetown,1,1,0,CH Gayle,West Indies,2004,78,,,,,,,,,,,,,,
17,6,36,0,2.11,1000,1000,England,St John's,1,1,0,CH Gayle,West Indies,2004,102,,,,,,,,,,,,,,
15.1,4,34,5,2.24,6.8,18.2,England,Birmingham,0,1,0,CH Gayle,West Indies,2004,91,,,,,,,,,,,,,,
10,0,39,0,3.9,1000,1000,South Africa,Cape Town,0,1,0,CH Gayle,West Indies,2004,60,,,,,,,,,,,,,,
51.1,23,111,5,2.16,22.2,61.4,England,Durban,1,1,1,SM Pollock,South Africa,2004,307,,,,,,,,,,,,,,
48.2,16,115,5,2.37,23,58,West Indies,Centurion,1,1,1,SM Pollock,South Africa,2004,290,,,,,,,,,,,,,,
43,16,97,3,2.25,32.33,86,England,Port Elizabeth,1,1,1,SM Pollock,South Africa,2004,258,,,,,,,,,,,,,,
41,9,152,3,3.7,50.66,82,West Indies,Cape Town,1,1,1,SM Pollock,South Africa,2004,246,,,,,,,,,,,,,,
35,7,67,6,1.91,11.16,35,Sri Lanka,Galle,0,1,1,SM Pollock,South Africa,2004,210,,,,,,,,,,,,,,
51,12,150,5,2.94,30,61.2,New Zealand,Wellington,0,1,1,SM Pollock,South Africa,2004,306,,,,,,,,,,,,,,
30,8,81,4,2.7,20.25,45,Sri Lanka,Colombo (SSC),0,1,1,SM Pollock,South Africa,2004,180,,,,,,,,,,,,,,
30.4,4,98,4,3.19,24.5,46,New Zealand,Hamilton,0,1,1,SM Pollock,South Africa,2004,184,,,,,,,,,,,,,,
32.5,6,113,4,3.44,28.25,49.2,New Zealand,Auckland,0,1,1,SM Pollock,South Africa,2004,197,,,,,,,,,,,,,,
38,11,100,2,2.63,50,114,India,Kanpur,0,1,1,SM Pollock,South Africa,2004,228,,,,,,,,,,,,,,
45,13,101,2,2.24,50.5,135,India,Kolkata,0,1,1,SM Pollock,South Africa,2004,270,,,,,,,,,,,,,,
38.3,6,148,3,3.84,49.33,77,England,Durban,1,1,1,DW Steyn,South Africa,2004,231,,,,,,,,,,,,,,
25.5,2,117,2,4.52,58.5,77.5,England,Port Elizabeth,1,1,1,DW Steyn,South Africa,2004,151,,,,,,,,,,,,,,
26,8,99,1,3.8,99,156,Australia,Brisbane,0,1,1,KD Mills,New Zealand,2004,156,,,,,,,,,,,,,,
46,13,146,4,3.17,36.5,69,New Zealand,Lord's,1,1,1,SP Jones,England,2004,276,,,,,,,,,,,,,,
17,3,70,1,4.11,70,102,West Indies,Lord's,1,1,1,SP Jones,England,2004,102,,,,,,,,,,,,,,
27,4,101,6,3.74,16.83,27,West Indies,Port of Spain,0,1,1,SP Jones,England,2004,162,,,,,,,,,,,,,,
29.1,7,78,5,2.67,15.6,35,South Africa,Port Elizabeth,0,1,1,SP Jones,England,2004,175,,,,,,,,,,,,,,
18,2,62,2,3.44,31,54,West Indies,Kingston,0,1,1,SP Jones,England,2004,108,,,,,,,,,,,,,,
32,5,117,2,3.65,58.5,96,South Africa,Durban,0,1,1,SP Jones,England,2004,192,,,,,,,,,,,,,,
16,1,55,1,3.43,55,96,West Indies,Bridgetown,0,1,1,SP Jones,England,2004,96,,,,,,,,,,,,,,
