"Overall figures 
Player",Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,
RT Ponting,2000-2012,73,11,22,7,69,0,-,-,-,3.13,-,0,0, 
MJ Clarke,2004-2014,53,23,138.1,16,433,6,3/5,3/33,72.16,3.13,138.1,0,0, 
ML Hayden,2000-2009,53,1,2,0,9,0,-,-,-,4.5,-,0,0, 
AC Gilchrist,2000-2008,50,-,-,-,-,-,-,-,-,-,-,-,-, 
MEK Hussey,2005-2013,45,20,54,2,189,4,1/3,1/3,47.25,3.5,81,0,0, 
JL Langer,2000-2007,41,-,-,-,-,-,-,-,-,-,-,-,-, 
B Lee,2000-2008,40,78,1555.1,321,5265,179,5/30,9/171,29.41,3.38,52.1,6,0, 
GD McGrath,2000-2007,37,73,1437.3,462,3412,156,8/24,10/27,21.87,2.37,55.2,6,2, 
DA Warner,2011-2017,37,8,23,0,105,1,1/27,1/56,105,4.56,138,0,0, 
NM Lyon,2011-2017,36,69,1445.1,281,4486,133,7/152,12/286,33.72,3.1,65.1,3,1, 
MG Johnson,2007-2015,34,66,1310.2,259,4357,171,8/61,11/159,25.47,3.32,45.9,7,1, 
PM Siddle,2008-2016,34,65,1165.1,321,3375,122,6/54,9/104,27.66,2.89,57.3,5,0, 
BJ Haddin,2008-2015,31,-,-,-,-,-,-,-,-,-,-,-,-, 
SK Warne,2000-2007,29,56,1351.2,275,3867,131,6/80,8/112,29.51,2.86,61.8,4,0, 
SPD Smith,2010-2017,28,22,83.1,6,376,2,1/3,1/3,188,4.52,249.5,0,0, 
DR Martyn,2000-2006,27,9,46,11,141,2,1/0,1/4,70.5,3.06,138,0,0, 
SR Watson,2005-2015,27,42,445,113,1260,32,2/30,3/72,39.37,2.83,83.4,0,0, 
JN Gillespie,2000-2005,26,51,944.5,258,2510,101,6/40,9/88,24.85,2.65,56.1,2,0, 
SR Waugh,2000-2004,24,15,78,19,172,3,1/2,1/7,57.33,2.2,156,0,0, 
SCG MacGill,2000-2007,22,44,978,198,3126,103,7/104,10/133,30.34,3.19,56.9,7,1, 
SM Katich,2003-2010,21,11,98.5,12,362,14,6/65,6/90,25.85,3.66,42.3,1,0, 
MA Starc,2011-2017,20,38,765.1,145,2619,93,6/154,8/137,28.16,3.42,49.3,3,0, 
JR Hazlewood,2014-2017,19,35,738.5,187,2035,81,6/70,9/136,25.12,2.75,54.7,4,0, 
A Symonds,2005-2008,18,28,247,59,624,21,3/50,5/56,29.71,2.52,70.5,0,0, 
UT Khawaja,2011-2017,17,-,-,-,-,-,-,-,-,-,-,-,-, 
SE Marsh,2011-2017,14,-,-,-,-,-,-,-,-,-,-,-,-, 
SR Clark,2006-2008,13,26,480.4,126,1261,54,4/28,7/93,23.35,2.62,53.4,0,0, 
RJ Harris,2010-2015,13,24,454,127,1219,49,6/47,9/106,24.87,2.68,55.5,2,0, 
BW Hilfenhaus,2009-2012,12,21,462.2,132,1193,46,5/75,8/97,25.93,2.58,60.3,2,0, 
DS Lehmann,2002-2004,12,11,75.2,23,170,5,3/61,3/64,34,2.25,90.4,0,0, 
ME Waugh,2000-2002,12,8,42,8,121,3,1/10,1/10,40.33,2.88,84,0,0, 
MR Marsh,2014-2017,11,19,159.3,28,579,15,4/61,4/76,38.6,3.63,63.8,0,0, 
AJ Bichel,2000-2003,10,19,333.2,68,1121,37,5/60,6/125,30.29,3.36,54,1,0, 
MS Wade,2012-2017,10,1,1,1,0,0,-,-,-,0,-,0,0, 
EJM Cowan,2011-2013,10,-,-,-,-,-,-,-,-,-,-,-,-, 
CJL Rogers,2008-2015,10,-,-,-,-,-,-,-,-,-,-,-,-, 
