Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start date,
DW Fleming (AUS),26,9,71,1,2.73,71,156,,v India,Sydney,2 Jan 2000, 
B Lee (AUS),32,11,106,6,3.31,17.66,32,,v India,Sydney,2 Jan 2000, 
GD McGrath (AUS),35.5,8,103,10,2.87,10.3,21.5,,v India,Sydney,2 Jan 2000, 
AA Donald (SA),36.4,15,82,6,2.23,13.66,36.6,,v England,Cape Town,2 Jan 2000, 
JH Kallis (SA),20,4,61,2,3.05,30.5,60,,v England,Cape Town,2 Jan 2000, 
L Klusener (SA),16,5,42,2,2.62,21,48,,v England,Cape Town,2 Jan 2000, 
SM Pollock (SA),41,16,78,2,1.9,39,123,,v England,Cape Town,2 Jan 2000, 
M Hayward (SA),17.1,3,61,3,3.55,20.33,34.3,,v England,Centurion,14 Jan 2000, 
JH Kallis (SA),13,2,44,0,3.38,-,-,,v England,Centurion,14 Jan 2000, 
L Klusener (SA),14,4,38,1,2.71,38,84,,v England,Centurion,14 Jan 2000, 
SM Pollock (SA),20,7,53,3,2.65,17.66,40,,v England,Centurion,14 Jan 2000, 
J Srinath (INDIA),23,4,71,3,3.08,23.66,46,,v South Africa,Mumbai,24 Feb 2000, 
Abdul Razzaq (PAK),58.5,13,155,6,2.63,25.83,58.8,,v Sri Lanka,Rawalpindi,26 Feb 2000, 
Waqar Younis (PAK),54.5,9,181,6,3.3,30.16,54.8,,v Sri Lanka,Rawalpindi,26 Feb 2000, 
J Srinath (INDIA),30,6,53,1,1.76,53,180,,v South Africa,Bengaluru,2 Mar 2000, 
Abdul Razzaq (PAK),34,15,66,2,1.94,33,102,,v Sri Lanka,Peshawar,5 Mar 2000, 
Shoaib Akhtar (PAK),36.5,4,122,7,3.31,17.42,31.5,,v Sri Lanka,Peshawar,5 Mar 2000, 
Waqar Younis (PAK),16,3,38,3,2.37,12.66,32,,v Sri Lanka,Peshawar,5 Mar 2000, 
CL Cairns (NZ),18,0,71,2,3.94,35.5,54,,v Australia,Auckland,11 Mar 2000, 
SB Doull (NZ),14,6,21,0,1.5,-,-,,v Australia,Auckland,11 Mar 2000, 
Mohammad Akram (PAK),24.1,3,93,2,3.84,46.5,72.5,,v Sri Lanka,Karachi,12 Mar 2000, 
Shoaib Akhtar (PAK),31,5,116,4,3.74,29,46.5,,v Sri Lanka,Karachi,12 Mar 2000, 
Waqar Younis (PAK),21,6,71,4,3.38,17.75,31.5,,v Sri Lanka,Karachi,12 Mar 2000, 
CEL Ambrose (WI),36,19,50,7,1.38,7.14,30.8,,v Zimbabwe,Port of Spain,16 Mar 2000, 
RD King (WI),20,2,71,0,3.55,-,-,,v Zimbabwe,Port of Spain,16 Mar 2000, 
FA Rose (WI),32,10,60,5,1.87,12,38.4,,v Zimbabwe,Port of Spain,16 Mar 2000, 
CA Walsh (WI),42,17,67,4,1.59,16.75,63,,v Zimbabwe,Port of Spain,16 Mar 2000, 
NJ Astle (NZ),21.1,6,64,0,3.02,-,-,,v Australia,Wellington,24 Mar 2000, 
CL Cairns (NZ),39.3,4,155,4,3.92,38.75,59.2,,v Australia,Wellington,24 Mar 2000, 
SB Doull (NZ),29,5,113,1,3.89,113,174,,v Australia,Wellington,24 Mar 2000, 
CD McMillan (NZ),23,10,57,3,2.47,19,46,,v Australia,Wellington,24 Mar 2000, 
CEL Ambrose (WI),41,17,50,1,1.21,50,246,,v Zimbabwe,Kingston,24 Mar 2000, 
RD King (WI),33,9,81,7,2.45,11.57,28.2,,v Zimbabwe,Kingston,24 Mar 2000, 
FA Rose (WI),36,13,93,4,2.58,23.25,54,,v Zimbabwe,Kingston,24 Mar 2000, 
CA Walsh (WI),38.3,12,67,5,1.74,13.4,46.2,,v Zimbabwe,Kingston,24 Mar 2000, 
CL Cairns (NZ),32,8,140,3,4.37,46.66,64,,v Australia,Hamilton,31 Mar 2000, 
DR Tuffey (NZ),11,1,52,0,4.72,-,-,,v Australia,Hamilton,31 Mar 2000, 
CEL Ambrose (WI),25.3,10,43,4,1.68,10.75,38.2,,v Pakistan,Georgetown,5 May 2000, 
RD King (WI),26,7,57,2,2.19,28.5,78,,v Pakistan,Georgetown,5 May 2000, 
NAM McLean (WI),26,5,93,2,3.57,46.5,78,,v Pakistan,Georgetown,5 May 2000, 
CA Walsh (WI),28,10,46,2,1.64,23,84,,v Pakistan,Georgetown,5 May 2000, 
AR Caddick (ENG),16.2,5,38,4,2.32,9.5,24.5,,v Zimbabwe,Lord's,18 May 2000, 
D Gough (ENG),27.3,4,93,6,3.38,15.5,27.5,,v Zimbabwe,Lord's,18 May 2000, 
CEL Ambrose (WI),58,23,107,2,1.84,53.5,174,,v Pakistan,Bridgetown,18 May 2000, 
RD King (WI),46,10,138,5,3,27.6,55.2,,v Pakistan,Bridgetown,18 May 2000, 
NAM McLean (WI),39.4,7,175,3,4.41,58.33,79.3,,v Pakistan,Bridgetown,18 May 2000, 
CA Walsh (WI),49,10,124,6,2.53,20.66,49,,v Pakistan,Bridgetown,18 May 2000, 
CEL Ambrose (WI),35,9,69,5,1.97,13.8,42,,v Pakistan,St John's,25 May 2000, 
RD King (WI),39,9,96,5,2.46,19.2,46.8,,v Pakistan,St John's,25 May 2000, 
FA Rose (WI),39,6,117,3,3,39,78,,v Pakistan,St John's,25 May 2000, 
CA Walsh (WI),46,6,122,6,2.65,20.33,46,,v Pakistan,St John's,25 May 2000, 
AR Caddick (ENG),18.3,4,57,0,3.08,-,-,,v Zimbabwe,Nottingham,1 Jun 2000, 
A Flintoff (ENG),10,3,33,0,3.3,-,-,,v Zimbabwe,Nottingham,1 Jun 2000, 
ESH Giddins (ENG),16,5,46,1,2.87,46,96,,v Zimbabwe,Nottingham,1 Jun 2000, 
D Gough (ENG),20,2,66,3,3.3,22,40,,v Zimbabwe,Nottingham,1 Jun 2000, 
CRD Fernando (SL),15.5,1,53,2,3.34,26.5,47.5,,v Pakistan,Colombo (SSC),14 Jun 2000, 
AR Caddick (ENG),30,6,94,2,3.13,47,90,,v West Indies,Birmingham,15 Jun 2000, 
A Flintoff (ENG),23,8,48,1,2.08,48,138,,v West Indies,Birmingham,15 Jun 2000, 
ESH Giddins (ENG),18,4,73,0,4.05,-,-,,v West Indies,Birmingham,15 Jun 2000, 
D Gough (ENG),36.5,6,109,5,2.95,21.8,44.2,,v West Indies,Birmingham,15 Jun 2000, 
KR Pushpakumara (SL),29,6,116,1,4,116,174,,v Pakistan,Galle,21 Jun 2000, 
AR Caddick (ENG),33.3,11,74,6,2.2,12.33,33.5,,v West Indies,Lord's,29 Jun 2000, 
DG Cork (ENG),24,8,39,4,1.62,9.75,36,,v West Indies,Lord's,29 Jun 2000, 
D Gough (ENG),21,5,72,4,3.42,18,31.5,,v West Indies,Lord's,29 Jun 2000, 
MJ Hoggard (ENG),13,3,49,0,3.76,-,-,,v West Indies,Lord's,29 Jun 2000, 
AR Caddick (ENG),47,14,109,4,2.31,27.25,70.5,,v West Indies,Manchester,3 Aug 2000, 
DG Cork (ENG),45.1,17,87,5,1.92,17.4,54.2,,v West Indies,Manchester,3 Aug 2000, 
D Gough (ENG),48,8,154,3,3.2,51.33,96,,v West Indies,Manchester,3 Aug 2000, 
AR Caddick (ENG),21.2,8,49,5,2.29,9.8,25.6,,v West Indies,Leeds,17 Aug 2000, 
D Gough (ENG),27,5,89,7,3.29,12.71,23.1,,v West Indies,Leeds,17 Aug 2000, 
AR Caddick (ENG),39,14,96,5,2.46,19.2,46.8,,v West Indies,The Oval,31 Aug 2000, 
DG Cork (ENG),15,1,50,2,3.33,25,45,,v West Indies,The Oval,31 Aug 2000, 
D Gough (ENG),33,6,89,4,2.69,22.25,49.5,,v West Indies,The Oval,31 Aug 2000, 
DT Mutendera (ZIM),14,4,29,0,2.07,-,-,,v New Zealand,Bulawayo,12 Sep 2000, 
ML Nkala (ZIM),21,7,43,0,2.04,-,-,,v New Zealand,Bulawayo,12 Sep 2000, 
HH Streak (ZIM),26,9,67,2,2.57,33.5,78,,v New Zealand,Bulawayo,12 Sep 2000, 
M Mbangwa (ZIM),28,10,58,2,2.07,29,84,,v New Zealand,Harare,19 Sep 2000, 
ML Nkala (ZIM),15,0,60,1,4,60,90,,v New Zealand,Harare,19 Sep 2000, 
HK Olonga (ZIM),27,5,115,3,4.25,38.33,54,,v New Zealand,Harare,19 Sep 2000, 
HH Streak (ZIM),29,6,74,0,2.55,-,-,,v New Zealand,Harare,19 Sep 2000, 
Hasibul Hossain (BDESH),19,2,60,0,3.15,-,-,,v India,Dhaka,10 Nov 2000, 
Abdul Razzaq (PAK),22,6,55,0,2.5,-,-,,v England,Lahore,15 Nov 2000, 
AA Donald (SA),49,18,112,6,2.28,18.66,49,,v New Zealand,Bloemfontein,17 Nov 2000, 
JH Kallis (SA),36,9,118,2,3.27,59,108,,v New Zealand,Bloemfontein,17 Nov 2000, 
L Klusener (SA),10,3,25,0,2.5,-,-,,v New Zealand,Bloemfontein,17 Nov 2000, 
M Ntini (SA),45.4,16,114,7,2.49,16.28,39.1,,v New Zealand,Bloemfontein,17 Nov 2000, 
SM Pollock (SA),47,21,84,4,1.78,21,70.5,,v New Zealand,Bloemfontein,17 Nov 2000, 
AB Agarkar (INDIA),51,17,137,2,2.68,68.5,153,,v Zimbabwe,Delhi,18 Nov 2000, 
J Srinath (INDIA),59.1,15,141,9,2.38,15.66,39.4,,v Zimbabwe,Delhi,18 Nov 2000, 
AJ Bichel (AUS),24,7,46,2,1.91,23,72,,v West Indies,Brisbane,23 Nov 2000, 
B Lee (AUS),29.1,14,64,4,2.19,16,43.7,,v West Indies,Brisbane,23 Nov 2000, 
GD McGrath (AUS),33,21,27,10,0.81,2.7,19.8,,v West Indies,Brisbane,23 Nov 2000, 
AB Agarkar (INDIA),37,10,88,2,2.37,44,111,,v Zimbabwe,Nagpur,25 Nov 2000, 
J Srinath (INDIA),43.1,12,134,3,3.1,44.66,86.3,,v Zimbabwe,Nagpur,25 Nov 2000, 
Abdul Razzaq (PAK),20,0,74,3,3.7,24.66,40,,v England,Faisalabad,29 Nov 2000, 
AA Donald (SA),26.3,2,69,4,2.6,17.25,39.7,,v New Zealand,Port Elizabeth,30 Nov 2000, 
JH Kallis (SA),21,8,44,1,2.09,44,126,,v New Zealand,Port Elizabeth,30 Nov 2000, 
M Ntini (SA),38,13,83,3,2.18,27.66,76,,v New Zealand,Port Elizabeth,30 Nov 2000, 
SM Pollock (SA),47,19,108,6,2.29,18,47,,v New Zealand,Port Elizabeth,30 Nov 2000, 
JN Gillespie (AUS),24,6,72,4,3,18,36,,v West Indies,Perth,1 Dec 2000, 
B Lee (AUS),30,7,113,7,3.76,16.14,25.7,,v West Indies,Perth,1 Dec 2000, 
GD McGrath (AUS),37,9,74,4,2,18.5,55.5,,v West Indies,Perth,1 Dec 2000, 
Abdul Razzaq (PAK),28,7,64,1,2.28,64,168,,v England,Karachi,7 Dec 2000, 
Waqar Younis (PAK),36,5,88,4,2.44,22,54,,v England,Karachi,7 Dec 2000, 
JH Kallis (SA),15.5,4,26,2,1.64,13,47.5,,v New Zealand,Johannesburg,8 Dec 2000, 
L Klusener (SA),12,2,43,1,3.58,43,72,,v New Zealand,Johannesburg,8 Dec 2000, 
M Ngam (SA),19,8,34,2,1.78,17,57,,v New Zealand,Johannesburg,8 Dec 2000, 
M Ntini (SA),18,9,29,3,1.61,9.66,36,,v New Zealand,Johannesburg,8 Dec 2000, 
SM Pollock (SA),26,9,41,2,1.57,20.5,78,,v New Zealand,Johannesburg,8 Dec 2000, 
JN Gillespie (AUS),45,14,107,5,2.37,21.4,54,,v West Indies,Adelaide,15 Dec 2000, 
GD McGrath (AUS),36,14,83,0,2.3,-,-,,v West Indies,Adelaide,15 Dec 2000, 
CS Martin (NZ),32.5,11,71,5,2.16,14.2,39.4,,v Zimbabwe,Wellington,26 Dec 2000, 
AJ Bichel (AUS),13.3,2,60,5,4.44,12,16.2,,v West Indies,Melbourne,26 Dec 2000, 
JN Gillespie (AUS),35,11,88,9,2.51,9.77,23.3,,v West Indies,Melbourne,26 Dec 2000, 
GD McGrath (AUS),25,13,25,0,1,-,-,,v West Indies,Melbourne,26 Dec 2000, 
L Klusener (SA),11,5,20,1,1.81,20,66,,v Sri Lanka,Durban,26 Dec 2000, 
M Ngam (SA),25,3,93,3,3.72,31,50,,v Sri Lanka,Durban,26 Dec 2000, 
M Ntini (SA),26,9,54,2,2.07,27,78,,v Sri Lanka,Durban,26 Dec 2000, 
SM Pollock (SA),36.4,12,75,5,2.04,15,44,,v Sri Lanka,Durban,26 Dec 2000, 
JN Gillespie (AUS),37,9,101,2,2.72,50.5,111,,v West Indies,Sydney,2 Jan 2001, 
GD McGrath (AUS),43,11,123,4,2.86,30.75,64.5,,v West Indies,Sydney,2 Jan 2001, 
M Ngam (SA),13,3,26,3,2,8.66,26,,v Sri Lanka,Cape Town,2 Jan 2001, 
M Ntini (SA),11,2,52,2,4.72,26,33,,v Sri Lanka,Cape Town,2 Jan 2001, 
SM Pollock (SA),13.4,6,30,6,2.19,5,13.6,,v Sri Lanka,Cape Town,2 Jan 2001, 
JH Kallis (SA),14,1,39,2,2.78,19.5,42,,v Sri Lanka,Centurion,20 Jan 2001, 
JM Kemp (SA),13,2,33,3,2.53,11,26,,v Sri Lanka,Centurion,20 Jan 2001, 
M Ntini (SA),30.3,10,90,6,2.95,15,30.5,,v Sri Lanka,Centurion,20 Jan 2001, 
SM Pollock (SA),17,5,43,1,2.52,43,102,,v Sri Lanka,Centurion,20 Jan 2001, 
AB Agarkar (INDIA),12,1,50,2,4.16,25,36,,v Australia,Mumbai,27 Feb 2001, 
J Srinath (INDIA),16,3,60,2,3.75,30,48,,v Australia,Mumbai,27 Feb 2001, 
NJ Astle (NZ),13,6,25,0,1.92,-,-,,v Pakistan,Auckland,8 Mar 2001, 
CD McMillan (NZ),14,5,34,1,2.42,34,84,,v Pakistan,Auckland,8 Mar 2001, 
CS Martin (NZ),34,3,171,4,5.02,42.75,51,,v Pakistan,Auckland,8 Mar 2001, 
DR Tuffey (NZ),51,16,139,7,2.72,19.85,43.7,,v Pakistan,Auckland,8 Mar 2001, 
M Dillon (WI),27,5,64,3,2.37,21.33,54,,v South Africa,Georgetown,9 Mar 2001, 
NAM McLean (WI),32,3,100,3,3.12,33.33,64,,v South Africa,Georgetown,9 Mar 2001, 
CA Walsh (WI),38,10,75,2,1.97,37.5,114,,v South Africa,Georgetown,9 Mar 2001, 
SC Ganguly (INDIA),13.2,3,44,1,3.3,44,80,,v Australia,Kolkata,11 Mar 2001, 
BKV Prasad (INDIA),30,5,95,0,3.16,-,-,,v Australia,Kolkata,11 Mar 2001, 
NJ Astle (NZ),30,12,45,0,1.5,-,-,,v Pakistan,Christchurch,15 Mar 2001, 
CD McMillan (NZ),31,13,47,1,1.51,47,186,,v Pakistan,Christchurch,15 Mar 2001, 
CS Martin (NZ),41,9,153,2,3.73,76.5,123,,v Pakistan,Christchurch,15 Mar 2001, 
DR Tuffey (NZ),49,13,152,2,3.1,76,147,,v Pakistan,Christchurch,15 Mar 2001, 
M Dillon (WI),45,10,132,3,2.93,44,90,,v South Africa,Port of Spain,17 Mar 2001, 
NAM McLean (WI),34.5,3,136,3,3.9,45.33,69.6,,v South Africa,Port of Spain,17 Mar 2001, 
CA Walsh (WI),57.4,18,108,8,1.87,13.5,43.2,,v South Africa,Port of Spain,17 Mar 2001, 
CS Martin (NZ),25,5,100,6,4,16.66,25,,v Pakistan,Hamilton,27 Mar 2001, 
DR Tuffey (NZ),29.5,7,77,7,2.58,11,25.5,,v Pakistan,Hamilton,27 Mar 2001, 
CE Cuffy (WI),40,11,99,2,2.47,49.5,120,,v South Africa,Bridgetown,29 Mar 2001, 
M Dillon (WI),34,1,147,4,4.32,36.75,51,,v South Africa,Bridgetown,29 Mar 2001, 
WW Hinds (WI),10,5,13,1,1.3,13,60,,v South Africa,Bridgetown,29 Mar 2001, 
CA Walsh (WI),59,18,115,4,1.94,28.75,88.5,,v South Africa,Bridgetown,29 Mar 2001, 
M Dillon (WI),18.2,4,47,3,2.56,15.66,36.6,,v South Africa,St John's,6 Apr 2001, 
CA Walsh (WI),69,27,101,5,1.46,20.2,82.8,,v South Africa,St John's,6 Apr 2001, 
AM Blignaut (ZIM),37,9,110,8,2.97,13.75,27.7,,v Bangladesh,Bulawayo,19 Apr 2001, 
ML Nkala (ZIM),13,2,45,0,3.46,-,-,,v Bangladesh,Bulawayo,19 Apr 2001, 
HH Streak (ZIM),40,12,89,5,2.22,17.8,48,,v Bangladesh,Bulawayo,19 Apr 2001, 
BT Watambwa (ZIM),30,7,82,3,2.73,27.33,60,,v Bangladesh,Bulawayo,19 Apr 2001, 
CE Cuffy (WI),27,9,71,2,2.62,35.5,81,,v South Africa,Kingston,19 Apr 2001, 
M Dillon (WI),34.1,8,91,7,2.66,13,29.2,,v South Africa,Kingston,19 Apr 2001, 
CA Walsh (WI),40,14,93,6,2.32,15.5,40,,v South Africa,Kingston,19 Apr 2001, 
AM Blignaut (ZIM),42,12,94,0,2.23,-,-,,v Bangladesh,Harare,26 Apr 2001, 
ML Nkala (ZIM),19,11,22,0,1.15,-,-,,v Bangladesh,Harare,26 Apr 2001, 
HH Streak (ZIM),51,19,85,6,1.66,14.16,51,,v Bangladesh,Harare,26 Apr 2001, 
BT Watambwa (ZIM),36.5,8,112,6,3.04,18.66,36.8,,v Bangladesh,Harare,26 Apr 2001, 
AR Caddick (ENG),35,6,106,8,3.02,13.25,26.2,,v Pakistan,Lord's,17 May 2001, 
DG Cork (ENG),26.3,6,83,4,3.13,20.75,39.7,,v Pakistan,Lord's,17 May 2001, 
D Gough (ENG),32,9,101,8,3.15,12.62,24,,v Pakistan,Lord's,17 May 2001, 
AR Caddick (ENG),50,6,203,6,4.06,33.83,50,,v Pakistan,Manchester,31 May 2001, 
DG Cork (ENG),46,11,117,1,2.54,117,276,,v Pakistan,Manchester,31 May 2001, 
D Gough (ENG),46.3,4,179,6,3.84,29.83,46.5,,v Pakistan,Manchester,31 May 2001, 
MJ Hoggard (ENG),48,8,172,6,3.58,28.66,48,,v Pakistan,Manchester,31 May 2001, 
AM Blignaut (ZIM),28,5,93,3,3.32,31,56,,v India,Bulawayo,7 Jun 2001, 
HH Streak (ZIM),24,7,63,3,2.62,21,48,,v India,Bulawayo,7 Jun 2001, 
BT Watambwa (ZIM),40.5,10,148,3,3.62,49.33,81.6,,v India,Bulawayo,7 Jun 2001, 
AM Blignaut (ZIM),51.5,15,158,6,3.04,26.33,51.8,,v India,Harare,15 Jun 2001, 
TJ Friend (ZIM),42.2,8,95,3,2.24,31.66,84.6,,v India,Harare,15 Jun 2001, 
HH Streak (ZIM),47,16,115,7,2.44,16.42,40.2,,v India,Harare,15 Jun 2001, 
AR Caddick (ENG),36,0,163,1,4.52,163,216,,v Australia,Birmingham,5 Jul 2001, 
D Gough (ENG),33,6,152,3,4.6,50.66,66,,v Australia,Birmingham,5 Jul 2001, 
AM Blignaut (ZIM),30,6,116,0,3.86,-,-,,v West Indies,Bulawayo,19 Jul 2001, 
HH Streak (ZIM),35,8,110,2,3.14,55,105,,v West Indies,Bulawayo,19 Jul 2001, 
AR Caddick (ENG),32.1,4,101,5,3.13,20.2,38.6,,v Australia,Lord's,19 Jul 2001, 
DG Cork (ENG),23,3,84,1,3.65,84,138,,v Australia,Lord's,19 Jul 2001, 
D Gough (ENG),25,3,115,3,4.6,38.33,50,,v Australia,Lord's,19 Jul 2001, 
AM Blignaut (ZIM),16,2,92,2,5.75,46,48,,v West Indies,Harare,27 Jul 2001, 
HH Streak (ZIM),37.2,10,109,2,2.91,54.5,112,,v West Indies,Harare,27 Jul 2001, 
AR Caddick (ENG),32.2,5,141,4,4.36,35.25,48.5,,v Australia,Nottingham,2 Aug 2001, 
